,亀山市
7316,432
7317,486
7318,546
7319,528
7320,487
7321,370
7322,314
7323,202
7324,168
7325,155
7326,149
7327,217
7328,319
7329,411
7330,460
7331,469
7332,412
7333,379
7334,356
7335,298
7336,279
7337,286
7338,305
7339,339
7340,372
7341,445
7342,507
7343,541
7344,449
7345,389
7346,326
7347,197
7348,160
7349,128
7350,140
7351,193
7352,286
7353,392
7354,444
7355,477
7356,434
7357,378
7358,368
7359,281
7360,250
7361,280
7362,280
7363,337
7364,397
7365,424
7366,479
7367,519
7368,452
7369,377
7370,283
7371,199
7372,141
7373,134
7374,133
7375,208
7376,303
7377,403
7378,483
7379,484
7380,413
7381,378
7382,336
7383,283
7384,253
7385,269
7386,269
7387,337
7388,348
7389,423
7390,507
7391,497
7392,428
7393,376
7394,301
7395,192
7396,153
7397,116
7398,117
7399,168
7400,266
7401,381
7402,421
7403,448
7404,411
7405,367
7406,319
7407,277
7408,262
7409,257
7410,283
7411,358
7412,390
7413,417
7414,498
7415,487
7416,416
7417,371
7418,303
7419,186
7420,127
7421,133
7422,126
7423,195
7424,309
7425,383
7426,423
7427,451
7428,397
7429,340
7430,318
7431,287
7432,247
7433,249
7434,321
7435,370
7436,394
7437,459
7438,528
7439,514
7440,421
7441,349
7442,274
7443,182
7444,136
7445,134
7446,143
7447,260
7448,369
7449,399
7450,417
7451,429
7452,350
7453,312
7454,274
7455,258
7456,226
7457,234
7458,241
7459,308
7460,393
7461,465
7462,521
7463,525
7464,469
7465,384
7466,295
7467,181
7468,151
7469,129
7470,160
7471,266
7472,371
7473,417
7474,446
7475,396
7476,343
7477,324
7478,288
7479,240
7480,237
7481,249
7482,236
7483,290
7484,378
7485,482
7486,540
7487,533
7488,449
7489,379
7490,270
7491,218
7492,148
7493,129
7494,167
7495,256
7496,378
7497,410
7498,412
7499,366
7500,295
7501,286
7502,267
7503,240
7504,238
7505,245
7506,228
7507,305
7508,378
7509,463
7510,513
7511,499
7512,461
7513,375
7514,300
7515,197
7516,129
7517,145
7518,154
7519,273
7520,374
7521,396
7522,420
7523,398
7524,374
7525,320
7526,286
7527,237
7528,233
7529,246
7530,258
7531,311
7532,347
7533,411
7534,493
7535,492
7536,446
7537,364
7538,311
7539,194
7540,150
7541,146
7542,148
7543,217
7544,333
7545,398
7546,466
7547,458
7548,395
7549,350
7550,347
7551,269
7552,235
7553,242
7554,275
7555,300
7556,378
7557,419
7558,441
7559,486
7560,433
7561,361
7562,272
7563,182
7564,150
7565,139
7566,121
7567,190
7568,272
7569,371
7570,451
7571,432
7572,383
7573,323
7574,311
7575,252
7576,223
7577,234
7578,262
7579,331
7580,391
7581,449
7582,521
7583,496
7584,433
7585,350
7586,259
7587,169
7588,134
7589,128
7590,150
7591,258
7592,338
7593,385
7594,406
7595,383
7596,344
7597,324
7598,297
7599,251
7600,224
7601,233
7602,276
7603,327
7604,389
7605,451
7606,538
7607,511
7608,444
7609,356
7610,271
7611,189
7612,141
7613,123
7614,160
7615,248
7616,361
7617,387
7618,372
7619,350
7620,299
7621,270
7622,270
7623,232
7624,225
7625,275
7626,326
7627,390
7628,470
7629,520
7630,550
7631,507
7632,468
7633,375
7634,308
7635,186
7636,154
7637,129
7638,169
7639,255
7640,364
7641,392
7642,392
7643,389
7644,351
7645,298
7646,279
7647,240
7648,248
7649,258
7650,242
7651,312
7652,399
7653,470
7654,565
7655,510
7656,465
7657,378
7658,295
7659,184
7660,149
7661,148
7662,152
7663,276
7664,379
7665,448
7666,452
7667,423
7668,371
7669,320
7670,287
7671,245
7672,210
7673,223
7674,255
7675,344
7676,402
7677,440
7678,524
7679,511
7680,457
7681,362
7682,296
7683,179
7684,139
7685,113
7686,179
7687,285
7688,365
7689,404
7690,404
7691,394
7692,364
7693,306
7694,281
7695,240
7696,259
7697,246
7698,252
7699,291
7700,376
7701,427
7702,533
7703,492
7704,406
7705,335
7706,251
7707,212
7708,155
7709,128
7710,145
7711,201
7712,299
7713,419
7714,414
7715,385
7716,364
7717,320
7718,291
7719,272
7720,227
7721,268
7722,262
7723,295
7724,370
7725,422
7726,453
7727,430
7728,426
7729,335
7730,262
7731,180
7732,159
7733,132
7734,140
7735,167
7736,254
7737,346
7738,371
7739,378
7740,369
7741,321
7742,284
7743,270
7744,224
7745,220
7746,261
7747,313
7748,411
7749,444
7750,528
7751,518
7752,442
7753,374
7754,275
7755,170
7756,132
7757,118
7758,157
7759,218
7760,315
7761,343
7762,362
7763,347
7764,316
7765,292
7766,267
7767,251
7768,236
7769,230
7770,256
7771,346
7772,434
7773,540
7774,601
7775,582
7776,616
7777,642
7778,627
7779,621
7780,639
7781,596
7782,586
7783,596
7784,611
7785,582
7786,521
7787,487
7788,436
7789,419
7790,364
7791,308
7792,280
7793,273
7794,301
7795,386
7796,426
7797,485
7798,602
7799,569
7800,502
7801,405
7802,313
7803,211
7804,170
7805,154
7806,211
7807,297
7808,398
7809,448
7810,460
7811,416
7812,381
7813,337
7814,271
7815,312
7816,259
7817,255
7818,263
7819,335
7820,412
7821,470
7822,526
7823,522
7824,455
7825,390
7826,289
7827,204
7828,182
7829,140
7830,181
7831,297
7832,414
7833,469
7834,450
7835,401
7836,340
7837,332
7838,290
7839,279
7840,230
7841,235
7842,280
7843,340
7844,382
7845,443
7846,568
7847,535
7848,456
7849,341
7850,276
7851,204
7852,145
7853,145
7854,169
7855,289
7856,386
7857,473
7858,447
7859,427
7860,356
7861,317
7862,294
7863,272
7864,240
7865,244
7866,281
7867,325
7868,356
7869,444
7870,458
7871,475
7872,447
7873,389
7874,292
7875,192
7876,148
7877,134
7878,159
7879,244
7880,327
7881,418
7882,486
7883,467
7884,410
7885,388
7886,310
7887,252
7888,253
7889,269
7890,270
7891,313
7892,385
7893,421
7894,463
7895,470
7896,419
7897,377
7898,292
7899,199
7900,126
7901,134
7902,137
7903,205
7904,295
7905,398
7906,438
7907,463
7908,401
7909,378
7910,312
7911,273
7912,235
7913,268
7914,261
7915,331
7916,427
7917,450
7918,527
7919,495
7920,433
7921,362
7922,232
7923,160
7924,139
7925,131
7926,149
7927,256
7928,379
7929,425
7930,431
7931,408
7932,358
7933,285
7934,308
7935,252
7936,239
7937,260
7938,265
7939,322
7940,390
7941,444
7942,552
7943,524
7944,434
7945,368
7946,248
7947,169
7948,153
7949,134
7950,160
7951,258
7952,336
7953,391
7954,414
7955,433
7956,376
7957,322
7958,277
7959,284
7960,263
7961,304
7962,300
7963,392
7964,504
7965,554
7966,631
7967,583
7968,509
7969,402
7970,303
7971,225
7972,179
7973,155
7974,195
7975,281
7976,385
7977,414
7978,427
7979,416
7980,342
7981,327
7982,284
7983,258
7984,258
7985,266
7986,285
7987,328
7988,410
7989,447
7990,556
7991,536
7992,469
7993,389
7994,305
7995,185
7996,157
7997,160
7998,183
7999,293
8000,404
8001,446
8002,428
8003,380
8004,358
8005,347
8006,283
8007,266
8008,233
8009,258
8010,253
8011,315
8012,386
8013,447
8014,532
8015,530
8016,471
8017,392
8018,275
8019,183
8020,157
8021,138
8022,170
8023,247
8024,339
8025,379
8026,371
8027,359
8028,336
8029,317
8030,264
8031,255
8032,203
8033,252
8034,263
8035,296
8036,388
8037,442
8038,472
8039,497
8040,432
8041,362
8042,308
8043,191
8044,154
8045,151
8046,155
8047,216
8048,338
8049,434
8050,445
8051,465
8052,376
8053,352
8054,292
8055,246
8056,268
8057,264
8058,277
8059,324
8060,374
8061,403
8062,446
8063,435
8064,387
8065,332
8066,257
8067,194
8068,158
8069,132
8070,151
8071,181
8072,252
8073,341
8074,370
8075,377
8076,350
8077,314
8078,295
8079,228
8080,226
8081,265
8082,271
8083,329
8084,363
8085,452
8086,530
8087,482
8088,406
8089,359
8090,242
8091,167
8092,155
8093,120
8094,148
8095,236
8096,342
8097,393
8098,417
8099,382
8100,344
8101,332
8102,302
8103,236
8104,221
8105,256
8106,271
8107,322
8108,404
8109,452
8110,531
8111,501
8112,447
8113,360
8114,269
8115,187
8116,138
8117,150
8118,191
8119,266
8120,370
8121,386
8122,392
8123,363
8124,313
8125,302
8126,265
8127,233
8128,239
8129,224
8130,251
8131,331
8132,400
8133,467
8134,548
8135,509
8136,471
8137,365
8138,244
8139,174
8140,146
8141,138
8142,166
8143,266
8144,344
8145,379
8146,389
8147,372
8148,335
8149,320
8150,281
8151,235
8152,227
8153,252
8154,269
8155,320
8156,404
8157,440
8158,531
8159,506
8160,475
8161,379
8162,283
8163,184
8164,137
8165,125
8166,175
8167,299
8168,390
8169,442
8170,431
8171,417
8172,367
8173,331
8174,270
8175,255
8176,220
8177,240
8178,255
8179,303
8180,366
8181,473
8182,559
8183,530
8184,427
8185,337
8186,252
8187,201
8188,136
8189,131
8190,169
8191,253
8192,355
8193,438
8194,496
8195,587
8196,518
8197,517
8198,636
8199,560
8200,463
8201,416
8202,373
8203,391
8204,438
8205,489
8206,545
8207,542
8208,479
8209,395
8210,308
8211,223
8212,181
8213,179
8214,178
8215,238
8216,357
8217,416
8218,462
8219,459
8220,401
8221,360
8222,314
8223,278
8224,243
8225,268
8226,293
8227,318
8228,393
8229,423
8230,461
8231,504
8232,438
8233,375
8234,264
8235,194
8236,160
8237,144
8238,123
8239,176
8240,255
8241,355
8242,381
8243,398
8244,390
8245,340
8246,329
8247,272
8248,257
8249,277
8250,288
8251,374
8252,448
8253,498
8254,544
8255,519
8256,427
8257,366
8258,242
8259,183
8260,155
8261,141
8262,196
8263,415
8264,463
8265,491
8266,534
8267,554
8268,618
8269,542
8270,499
8271,457
8272,396
8273,445
8274,444
8275,451
8276,515
8277,551
8278,622
8279,581
8280,507
8281,429
8282,325
8283,222
8284,191
8285,183
8286,204
8287,311
8288,417
8289,458
8290,442
8291,420
8292,373
8293,345
8294,299
8295,276
8296,266
8297,267
8298,316
8299,551
8300,663
8301,745
8302,732
8303,621
8304,536
8305,455
8306,366
8307,239
8308,207
8309,187
8310,212
8311,306
8312,410
8313,443
8314,489
8315,437
8316,368
8317,355
8318,329
8319,266
8320,256
8321,280
8322,281
8323,378
8324,407
8325,517
8326,570
8327,536
8328,469
8329,396
8330,316
8331,205
8332,177
8333,168
8334,186
8335,297
8336,397
8337,449
8338,449
8339,442
8340,371
8341,376
8342,315
8343,274
8344,245
8345,304
8346,256
8347,343
8348,380
8349,517
8350,585
8351,540
8352,461
8353,366
8354,274
8355,203
8356,160
8357,149
8358,167
8359,265
8360,363
8361,401
8362,387
8363,402
8364,359
8365,286
8366,282
8367,272
8368,274
8369,283
8370,288
8371,359
8372,416
8373,436
8374,489
8375,519
8376,483
8377,469
8378,400
8379,367
8380,394
8381,333
8382,302
8383,344
8384,427
8385,475
8386,469
8387,456
8388,440
8389,379
8390,359
8391,319
8392,374
8393,508
8394,470
8395,899
8396,848
8397,748
8398,766
8399,752
8400,650
8401,529
8402,450
8403,323
8404,276
8405,239
8406,224
8407,274
8408,355
8409,438
8410,493
8411,495
8412,462
8413,413
8414,377
8415,330
8416,299
8417,322
8418,312
8419,374
8420,448
8421,489
8422,569
8423,556
8424,458
