,亀山市
16100,500
16101,588
16102,607
16103,592
16104,515
16105,421
16106,323
16107,208
16108,162
16109,151
16110,152
16111,232
16112,354
16113,511
16114,627
16115,602
16116,528
16117,491
16118,427
16119,377
16120,330
16121,316
16122,383
16123,442
16124,502
16125,597
16126,605
16127,576
16128,494
16129,402
16130,284
16131,201
16132,168
16133,130
16134,142
16135,190
16136,280
16137,405
16138,453
16139,451
16140,410
16141,392
16142,354
16143,340
16144,272
16145,302
16146,323
16147,436
16148,511
16149,552
16150,593
16151,550
16152,488
16153,406
16154,280
16155,207
16156,180
16157,179
16158,166
16159,203
16160,321
16161,446
16162,470
16163,459
16164,446
16165,432
16166,370
16167,336
16168,306
16169,316
16170,388
16171,453
16172,524
16173,583
16174,630
16175,598
16176,506
16177,413
16178,311
16179,205
16180,154
16181,148
16182,136
16183,196
16184,346
16185,504
16186,576
16187,629
16188,519
16189,475
16190,424
16191,352
16192,309
16193,305
16194,352
16195,459
16196,496
16197,575
16198,612
16199,564
16200,495
16201,396
16202,292
16203,201
16204,150
16205,144
16206,141
16207,174
16208,239
16209,347
16210,414
16211,394
16212,395
16213,383
16214,336
16215,295
16216,286
16217,320
16218,373
16219,467
16220,526
16221,583
16222,645
16223,577
16224,502
16225,400
16226,290
16227,193
16228,169
16229,137
16230,153
16231,248
16232,393
16233,485
16234,514
16235,521
16236,462
16237,420
16238,400
16239,320
16240,288
16241,300
16242,360
16243,421
16244,523
16245,599
16246,658
16247,606
16248,530
16249,409
16250,316
16251,202
16252,158
16253,142
16254,149
16255,261
16256,384
16257,450
16258,509
16259,483
16260,425
16261,399
16262,322
16263,308
16264,254
16265,293
16266,319
16267,432
16268,484
16269,585
16270,648
16271,578
16272,506
16273,429
16274,294
16275,210
16276,162
16277,148
16278,135
16279,195
16280,286
16281,385
16282,438
16283,442
16284,431
16285,399
16286,349
16287,312
16288,285
16289,324
16290,348
16291,435
16292,512
16293,572
16294,617
16295,579
16296,478
16297,405
16298,300
16299,191
16300,155
16301,135
16302,150
16303,155
16304,229
16305,336
16306,413
16307,435
16308,420
16309,417
16310,384
16311,303
16312,282
16313,293
16314,369
16315,447
16316,565
16317,655
16318,701
16319,638
16320,538
16321,409
16322,325
16323,207
16324,153
16325,148
16326,164
16327,287
16328,431
16329,489
16330,575
16331,494
16332,446
16333,408
16334,333
16335,317
16336,284
16337,280
16338,346
16339,450
16340,502
16341,607
16342,659
16343,610
16344,543
16345,407
16346,317
16347,213
16348,152
16349,141
16350,170
16351,292
16352,420
16353,479
16354,503
16355,491
16356,414
16357,377
16358,344
16359,284
16360,274
16361,272
16362,322
16363,444
16364,523
16365,610
16366,648
16367,632
16368,528
16369,419
16370,318
16371,206
16372,158
16373,138
16374,158
16375,270
16376,415
16377,466
16378,498
16379,459
16380,399
16381,380
16382,315
16383,306
16384,267
16385,254
16386,334
16387,425
16388,497
16389,604
16390,673
16391,603
16392,540
16393,428
16394,306
16395,206
16396,155
16397,144
16398,177
16399,284
16400,464
16401,474
16402,487
16403,488
16404,423
16405,382
16406,305
16407,285
16408,253
16409,268
16410,318
16411,445
16412,521
16413,572
16414,637
16415,623
16416,524
16417,406
16418,308
16419,186
16420,162
16421,126
16422,170
16423,274
16424,387
16425,458
16426,462
16427,471
16428,387
16429,329
16430,303
16431,249
16432,245
16433,272
16434,338
16435,393
16436,479
16437,535
16438,601
16439,559
16440,524
16441,443
16442,354
16443,272
16444,255
16445,240
16446,347
16447,425
16448,494
16449,543
16450,661
16451,706
16452,674
16453,607
16454,581
16455,591
16456,507
16457,479
16458,503
16459,557
16460,586
16461,654
16462,688
16463,640
16464,569
16465,472
16466,358
16467,273
16468,202
16469,184
16470,191
16471,258
16472,367
16473,504
16474,564
16475,560
16476,515
16477,483
16478,430
16479,354
16480,334
16481,323
16482,395
16483,458
16484,534
16485,620
16486,678
16487,630
16488,538
16489,419
16490,329
16491,215
16492,156
16493,151
16494,189
16495,290
16496,393
16497,457
16498,501
16499,453
16500,403
16501,354
16502,299
16503,272
16504,268
16505,272
16506,384
16507,498
16508,618
16509,837
16510,916
16511,891
16512,880
16513,847
16514,851
16515,867
16516,732
16517,607
16518,561
16519,584
16520,594
16521,593
16522,608
16523,583
16524,515
16525,472
16526,431
16527,376
16528,350
16529,348
16530,410
16531,511
16532,577
16533,676
16534,709
16535,665
16536,583
16537,468
16538,374
16539,260
16540,187
16541,183
16542,221
16543,352
16544,485
16545,549
16546,538
16547,487
16548,456
16549,402
16550,332
16551,295
16552,297
16553,271
16554,336
16555,456
16556,527
16557,619
16558,672
16559,632
16560,553
16561,437
16562,336
16563,225
16564,170
16565,162
16566,172
16567,346
16568,439
16569,469
16570,500
16571,466
16572,409
16573,366
16574,319
16575,284
16576,267
16577,318
16578,337
16579,421
16580,526
16581,598
16582,646
16583,648
16584,539
16585,453
16586,371
16587,232
16588,168
16589,163
16590,174
16591,288
16592,442
16593,472
16594,474
16595,450
16596,404
16597,371
16598,308
16599,313
16600,301
16601,261
16602,318
16603,406
16604,476
16605,576
16606,640
16607,593
16608,540
16609,436
16610,321
16611,228
16612,164
16613,157
16614,173
16615,219
16616,327
16617,451
16618,503
16619,515
16620,460
16621,434
16622,413
16623,328
16624,295
16625,302
16626,327
16627,421
16628,504
16629,565
16630,611
16631,597
16632,498
16633,413
16634,314
16635,207
16636,175
16637,155
16638,130
16639,183
16640,283
16641,437
16642,484
16643,495
16644,450
16645,430
16646,396
16647,320
16648,279
16649,315
16650,358
16651,461
16652,542
16653,602
16654,653
16655,606
16656,509
16657,404
16658,302
16659,209
16660,175
16661,159
16662,164
16663,292
16664,457
16665,492
16666,522
16667,484
16668,413
16669,388
16670,298
16671,270
16672,269
16673,331
16674,335
16675,429
16676,513
16677,609
16678,654
16679,608
16680,537
16681,441
16682,317
16683,208
16684,162
16685,150
16686,179
16687,271
16688,387
16689,435
16690,441
16691,425
16692,388
16693,348
16694,305
16695,315
16696,273
16697,261
16698,343
16699,436
16700,508
16701,631
16702,652
16703,596
16704,532
16705,409
16706,297
16707,221
16708,164
16709,145
16710,178
16711,306
16712,439
16713,481
16714,481
16715,450
16716,398
16717,383
16718,320
16719,284
16720,277
16721,279
16722,315
16723,433
16724,536
16725,594
16726,661
16727,645
16728,543
16729,429
16730,314
16731,188
16732,165
16733,126
16734,191
16735,315
16736,453
16737,490
16738,552
16739,491
16740,422
16741,386
16742,337
16743,293
16744,286
16745,273
16746,326
16747,409
16748,488
16749,573
16750,647
16751,635
16752,532
16753,416
16754,315
16755,207
16756,159
16757,146
16758,170
16759,333
16760,475
16761,500
16762,509
16763,483
16764,416
16765,402
16766,312
16767,298
16768,310
16769,276
16770,333
16771,379
16772,466
16773,557
16774,610
16775,577
16776,515
16777,433
16778,332
16779,224
16780,170
16781,137
16782,162
16783,214
16784,366
16785,480
16786,534
16787,535
16788,490
16789,465
16790,380
16791,309
16792,291
16793,283
16794,355
16795,410
16796,453
16797,523
16798,569
16799,565
16800,507
16801,422
16802,331
16803,216
16804,162
16805,146
16806,131
16807,152
16808,252
16809,364
16810,446
16811,443
16812,406
16813,402
16814,348
16815,326
16816,289
16817,296
16818,341
16819,430
16820,532
16821,598
16822,682
16823,639
16824,538
16825,437
16826,336
16827,218
16828,167
16829,161
16830,176
16831,314
16832,430
16833,461
16834,452
16835,411
16836,372
16837,338
16838,323
16839,282
16840,280
16841,295
16842,334
16843,434
16844,525
16845,629
16846,705
16847,619
16848,542
16849,403
16850,312
16851,205
16852,145
16853,143
16854,211
16855,325
16856,445
16857,482
16858,496
16859,464
16860,400
16861,368
16862,309
16863,287
16864,279
16865,275
16866,363
16867,423
16868,506
16869,628
16870,668
16871,617
16872,524
16873,400
16874,295
16875,207
16876,160
16877,148
16878,193
16879,327
16880,453
16881,515
16882,509
16883,459
16884,392
16885,343
16886,313
16887,279
16888,265
16889,315
16890,321
16891,429
16892,508
16893,624
16894,673
16895,608
16896,532
16897,405
16898,291
16899,218
16900,165
16901,143
16902,182
16903,323
16904,441
16905,462
16906,466
16907,434
16908,370
16909,339
16910,318
16911,304
16912,295
16913,314
16914,321
16915,405
16916,515
16917,596
16918,649
16919,633
16920,525
16921,406
16922,309
16923,207
16924,182
16925,150
16926,195
16927,325
16928,466
16929,505
16930,501
16931,463
16932,408
16933,361
16934,325
16935,295
16936,296
16937,299
16938,331
16939,441
16940,487
16941,555
16942,625
16943,582
16944,505
16945,423
16946,313
16947,191
16948,165
16949,142
16950,155
16951,226
16952,357
16953,465
16954,570
16955,517
16956,440
16957,414
16958,350
16959,321
16960,281
16961,272
16962,328
16963,399
16964,451
16965,524
16966,583
16967,545
16968,498
16969,414
16970,302
16971,215
16972,155
16973,141
16974,144
16975,210
16976,326
16977,474
16978,520
16979,539
16980,465
16981,434
16982,417
16983,358
16984,279
16985,304
16986,330
16987,449
16988,511
16989,575
16990,664
16991,620
16992,494
16993,418
16994,304
16995,207
16996,159
16997,139
16998,184
16999,306
17000,451
17001,472
17002,490
17003,470
17004,393
17005,366
17006,343
17007,308
17008,278
17009,291
17010,325
17011,423
17012,507
17013,651
17014,689
17015,607
17016,525
17017,384
17018,294
17019,191
17020,148
17021,159
17022,204
17023,331
17024,467
17025,491
17026,513
17027,483
17028,445
17029,410
17030,324
17031,304
17032,298
17033,292
17034,390
17035,478
17036,513
17037,603
17038,670
17039,622
17040,516
17041,422
17042,320
17043,176
17044,156
17045,128
17046,185
17047,335
17048,450
17049,428
17050,477
17051,369
17052,361
17053,319
17054,315
17055,304
17056,324
17057,289
17058,340
17059,442
17060,539
17061,658
17062,765
17063,670
17064,547
17065,422
17066,321
17067,218
17068,168
17069,152
17070,198
17071,325
17072,433
17073,462
17074,453
17075,430
17076,378
17077,331
17078,366
17079,368
17080,354
17081,342
17082,431
17083,608
17084,743
17085,824
17086,824
17087,737
17088,615
17089,493
17090,342
17091,276
17092,203
17093,183
17094,233
17095,330
17096,457
17097,466
17098,470
17099,448
17100,407
17101,367
17102,322
17103,298
17104,294
17105,302
17106,382
17107,435
17108,496
17109,585
17110,644
17111,602
17112,547
17113,427
17114,310
17115,223
17116,174
17117,150
17118,164
17119,237
17120,340
17121,431
17122,482
17123,478
17124,441
17125,408
17126,373
17127,325
17128,302
17129,355
17130,456
17131,496
17132,541
17133,691
17134,838
17135,822
17136,736
17137,613
17138,691
17139,594
17140,418
17141,315
17142,327
17143,399
17144,461
17145,532
17146,577
17147,552
17148,515
17149,488
17150,463
17151,374
17152,359
17153,356
17154,443
17155,549
17156,584
17157,671
17158,719
17159,636
17160,549
17161,447
17162,331
17163,223
17164,178
17165,173
17166,231
17167,345
17168,491
17169,533
17170,546
17171,504
17172,441
17173,410
17174,381
17175,350
17176,296
17177,307
17178,343
17179,462
17180,528
17181,659
17182,701
17183,651
17184,549
17185,447
17186,331
17187,232
17188,165
17189,160
17190,204
17191,333
17192,452
17193,494
17194,494
17195,453
17196,406
17197,357
17198,332
17199,360
17200,283
17201,287
17202,331
17203,415
17204,543
17205,617
17206,685
17207,631
17208,530
17209,421
17210,311
17211,201
17212,182
17213,159
17214,180
17215,331
17216,479
17217,547
17218,527
17219,485
17220,412
17221,389
17222,314
17223,328
17224,300
17225,294
17226,346
17227,433
17228,508
17229,635
17230,664
17231,634
17232,527
17233,424
17234,298
17235,201
17236,172
17237,133
17238,181
17239,335
17240,426
17241,435
17242,435
17243,416
17244,381
17245,385
17246,395
17247,388
17248,404
17249,550
17250,612
17251,684
17252,921
17253,1079
17254,1051
17255,950
17256,827
17257,785
17258,911
17259,959
17260,995
17261,1057
17262,956
17263,993
17264,986
17265,920
17266,825
17267,741
17268,659
17269,618
17270,584
17271,553
17272,498
17273,472
17274,511
17275,555
17276,620
17277,707
17278,728
17279,668
17280,612
17281,505
17282,417
17283,318
17284,237
17285,225
17286,249
17287,352
17288,476
17289,569
17290,618
17291,594
17292,537
17293,475
17294,422
17295,354
17296,363
17297,343
17298,364
17299,428
17300,504
17301,592
17302,651
17303,605
17304,547
17305,440
17306,365
17307,267
17308,203
17309,172
17310,180
17311,232
17312,342
17313,475
17314,526
17315,549
17316,502
17317,468
17318,414
17319,353
17320,310
17321,318
17322,381
17323,467
17324,543
17325,643
17326,677
17327,632
17328,523
17329,417
17330,310
17331,230
17332,156
17333,157
17334,190
17335,309
17336,429
17337,453
17338,457
17339,455
17340,395
17341,348
17342,320
17343,296
17344,280
17345,330
17346,377
17347,432
17348,537
17349,640
17350,684
17351,649
17352,521
17353,433
17354,326
17355,223
17356,181
17357,153
17358,189
17359,340
17360,484
17361,508
17362,521
17363,454
17364,412
17365,376
17366,333
17367,346
17368,277
17369,275
17370,337
17371,419
17372,541
17373,659
17374,677
17375,629
17376,528
17377,432
17378,301
17379,211
17380,170
17381,154
17382,198
17383,321
17384,467
17385,520
17386,494
17387,469
17388,419
17389,382
17390,340
17391,306
17392,317
17393,308
17394,310
17395,414
17396,536
17397,631
17398,687
17399,629
17400,541
17401,456
17402,390
17403,262
17404,179
17405,167
17406,217
17407,346
17408,441
17409,473
17410,467
17411,436
17412,392
17413,377
17414,353
17415,311
17416,301
17417,288
17418,361
17419,442
17420,547
17421,654
17422,696
17423,623
17424,541
17425,416
17426,318
17427,226
17428,171
17429,155
17430,176
17431,340
17432,426
17433,471
17434,480
17435,443
17436,402
17437,370
17438,352
17439,350
17440,314
17441,283
17442,340
17443,435
17444,504
17445,582
17446,644
17447,597
17448,539
17449,426
17450,332
17451,227
17452,167
17453,168
17454,168
17455,265
17456,391
17457,476
17458,557
17459,553
17460,476
17461,441
17462,407
17463,336
17464,299
17465,299
17466,350
17467,395
17468,460
17469,554
17470,613
17471,576
17472,498
17473,418
17474,320
17475,247
17476,214
17477,187
17478,199
17479,304
17480,381
17481,456
17482,497
17483,551
17484,476
17485,437
17486,401
17487,340
17488,336
17489,329
17490,364
17491,441
17492,536
17493,643
17494,656
17495,646
17496,531
17497,419
17498,336
17499,209
17500,167
17501,160
17502,196
17503,364
17504,485
17505,533
17506,545
17507,500
17508,416
17509,410
17510,353
17511,324
17512,303
17513,313
17514,347
17515,428
17516,537
17517,651
17518,692
17519,612
17520,512
17521,415
17522,309
17523,201
17524,180
17525,154
17526,181
17527,327
17528,462
17529,562
17530,725
17531,722
17532,650
17533,589
17534,508
17535,457
17536,452
17537,542
17538,585
17539,629
17540,705
17541,761
17542,842
17543,834
17544,701
17545,550
17546,463
17547,340
17548,272
17549,250
17550,260
17551,403
17552,501
17553,538
17554,541
17555,517
17556,433
17557,418
17558,351
17559,368
17560,359
17561,348
17562,382
17563,486
17564,553
17565,691
17566,714
17567,660
17568,573
17569,449
17570,357
17571,256
17572,193
17573,182
17574,210
17575,401
17576,507
17577,567
17578,559
17579,486
17580,438
17581,390
17582,363
17583,318
17584,298
17585,298
17586,320
17587,437
17588,554
17589,628
17590,673
17591,641
17592,538
17593,412
17594,333
17595,219
17596,196
17597,162
17598,188
17599,317
17600,426
17601,448
17602,453
17603,422
17604,390
17605,349
17606,338
17607,345
17608,320
17609,356
17610,362
17611,454
17612,603
17613,706
17614,808
17615,904
17616,931
17617,820
17618,699
17619,582
17620,469
17621,388
17622,338
17623,388
17624,520
17625,584
17626,600
17627,627
17628,536
17629,521
17630,473
17631,446
17632,431
17633,456
17634,583
17635,639
17636,653
17637,724
17638,743
17639,687
17640,610
17641,504
17642,416
17643,311
17644,242
17645,217
17646,229
17647,294
17648,374
17649,490
17650,521
17651,532
17652,475
17653,447
17654,432
17655,385
17656,325
17657,357
17658,425
17659,486
17660,590
17661,727
17662,741
17663,712
17664,578
17665,455
17666,368
17667,373
17668,323
17669,274
17670,326
17671,417
17672,514
17673,509
17674,537
17675,564
17676,575
17677,574
17678,519
17679,557
17680,530
17681,543
17682,555
17683,636
17684,734
17685,812
17686,838
17687,731
17688,637
17689,499
17690,417
17691,309
17692,242
17693,225
17694,272
17695,426
17696,507
17697,512
17698,535
17699,502
17700,452
17701,426
17702,382
17703,322
17704,537
17705,704
17706,651
17707,727
17708,757
17709,791
17710,814
17711,746
17712,623
17713,599
17714,903
17715,773
17716,1013
17717,853
17718,846
17719,955
17720,992
17721,866
17722,812
17723,723
17724,663
17725,592
17726,548
17727,530
17728,485
17729,549
17730,543
17731,591
17732,678
17733,777
17734,801
17735,719
17736,648
17737,545
17738,450
17739,328
17740,322
17741,337
17742,446
17743,611
17744,666
17745,702
17746,692
