,鈴鹿市
7316,1519
7317,1631
7318,1753
7319,1831
7320,1779
7321,1601
7322,1320
7323,1124
7324,908
7325,778
7326,774
7327,888
7328,1133
7329,1543
7330,1647
7331,1561
7332,1468
7333,1329
7334,1289
7335,1239
7336,1175
7337,1123
7338,1132
7339,1223
7340,1411
7341,1578
7342,1700
7343,1779
7344,1725
7345,1551
7346,1246
7347,1102
7348,901
7349,769
7350,758
7351,861
7352,1091
7353,1443
7354,1572
7355,1455
7356,1359
7357,1304
7358,1192
7359,1215
7360,1185
7361,1101
7362,1149
7363,1217
7364,1365
7365,1551
7366,1629
7367,1722
7368,1682
7369,1480
7370,1253
7371,1053
7372,878
7373,736
7374,753
7375,813
7376,1077
7377,1397
7378,1569
7379,1524
7380,1473
7381,1330
7382,1279
7383,1256
7384,1163
7385,1128
7386,1134
7387,1200
7388,1387
7389,1541
7390,1626
7391,1752
7392,1680
7393,1423
7394,1206
7395,1040
7396,835
7397,749
7398,726
7399,808
7400,1017
7401,1346
7402,1539
7403,1462
7404,1376
7405,1272
7406,1257
7407,1196
7408,1180
7409,1113
7410,1123
7411,1224
7412,1421
7413,1647
7414,1735
7415,1837
7416,1740
7417,1459
7418,1203
7419,1016
7420,844
7421,708
7422,733
7423,855
7424,1099
7425,1477
7426,1567
7427,1413
7428,1295
7429,1286
7430,1207
7431,1182
7432,1145
7433,1101
7434,1094
7435,1304
7436,1630
7437,1802
7438,1887
7439,1917
7440,1767
7441,1460
7442,1194
7443,1020
7444,828
7445,726
7446,797
7447,968
7448,1423
7449,1684
7450,1551
7451,1221
7452,1161
7453,1095
7454,1068
7455,1053
7456,1050
7457,962
7458,1038
7459,1148
7460,1393
7461,1647
7462,1891
7463,1962
7464,1831
7465,1563
7466,1253
7467,1045
7468,836
7469,772
7470,809
7471,944
7472,1374
7473,1689
7474,1481
7475,1274
7476,1195
7477,1043
7478,1045
7479,1064
7480,995
7481,969
7482,1031
7483,1162
7484,1388
7485,1679
7486,1849
7487,1904
7488,1825
7489,1531
7490,1271
7491,1012
7492,840
7493,739
7494,795
7495,939
7496,1325
7497,1618
7498,1446
7499,1174
7500,1125
7501,1068
7502,1046
7503,1016
7504,966
7505,912
7506,999
7507,1116
7508,1409
7509,1617
7510,1799
7511,1893
7512,1804
7513,1536
7514,1249
7515,1022
7516,863
7517,735
7518,800
7519,946
7520,1398
7521,1713
7522,1523
7523,1251
7524,1161
7525,1047
7526,1030
7527,1046
7528,1019
7529,999
7530,976
7531,1112
7532,1313
7533,1531
7534,1660
7535,1774
7536,1724
7537,1497
7538,1221
7539,1060
7540,873
7541,746
7542,767
7543,894
7544,1157
7545,1549
7546,1646
7547,1515
7548,1377
7549,1289
7550,1203
7551,1213
7552,1176
7553,1076
7554,1112
7555,1238
7556,1366
7557,1527
7558,1681
7559,1711
7560,1653
7561,1447
7562,1221
7563,1035
7564,863
7565,721
7566,729
7567,813
7568,1065
7569,1404
7570,1558
7571,1467
7572,1357
7573,1268
7574,1244
7575,1220
7576,1171
7577,1122
7578,1125
7579,1248
7580,1427
7581,1671
7582,1836
7583,1876
7584,1752
7585,1463
7586,1227
7587,1017
7588,821
7589,704
7590,743
7591,906
7592,1309
7593,1650
7594,1511
7595,1262
7596,1182
7597,1075
7598,1037
7599,1077
7600,1028
7601,974
7602,997
7603,1148
7604,1402
7605,1692
7606,1800
7607,1881
7608,1776
7609,1461
7610,1217
7611,1007
7612,835
7613,713
7614,742
7615,900
7616,1233
7617,1474
7618,1342
7619,1100
7620,1069
7621,1028
7622,948
7623,973
7624,975
7625,938
7626,1026
7627,1263
7628,1543
7629,1814
7630,1959
7631,2016
7632,1838
7633,1561
7634,1259
7635,1032
7636,845
7637,766
7638,785
7639,949
7640,1299
7641,1614
7642,1473
7643,1216
7644,1127
7645,1055
7646,1044
7647,1072
7648,1023
7649,968
7650,1041
7651,1157
7652,1400
7653,1667
7654,1773
7655,1922
7656,1801
7657,1524
7658,1248
7659,1059
7660,847
7661,756
7662,827
7663,975
7664,1402
7665,1700
7666,1545
7667,1276
7668,1175
7669,1126
7670,1108
7671,1088
7672,1038
7673,1009
7674,1013
7675,1095
7676,1337
7677,1607
7678,1750
7679,1850
7680,1813
7681,1511
7682,1215
7683,1038
7684,848
7685,763
7686,778
7687,946
7688,1374
7689,1693
7690,1528
7691,1328
7692,1172
7693,1109
7694,1058
7695,1081
7696,1022
7697,988
7698,1000
7699,1134
7700,1312
7701,1544
7702,1605
7703,1722
7704,1666
7705,1497
7706,1300
7707,1028
7708,867
7709,716
7710,723
7711,855
7712,1102
7713,1386
7714,1473
7715,1402
7716,1288
7717,1268
7718,1206
7719,1140
7720,1092
7721,1040
7722,1079
7723,1187
7724,1380
7725,1519
7726,1654
7727,1731
7728,1617
7729,1431
7730,1200
7731,1013
7732,818
7733,711
7734,692
7735,773
7736,982
7737,1267
7738,1455
7739,1351
7740,1247
7741,1213
7742,1187
7743,1134
7744,1127
7745,1088
7746,1110
7747,1227
7748,1459
7749,1695
7750,1795
7751,1838
7752,1751
7753,1461
7754,1186
7755,1016
7756,812
7757,719
7758,719
7759,865
7760,1153
7761,1467
7762,1335
7763,1111
7764,1042
7765,988
7766,966
7767,974
7768,965
7769,954
7770,1012
7771,1085
7772,1342
7773,1588
7774,1725
7775,1864
7776,1676
7777,1483
7778,1367
7779,1294
7780,1256
7781,1354
7782,1449
7783,1604
7784,1990
7785,2108
7786,1897
7787,1613
7788,1506
7789,1360
7790,1296
7791,1278
7792,1191
7793,1189
7794,1215
7795,1256
7796,1494
7797,1747
7798,1902
7799,2021
7800,1883
7801,1592
7802,1327
7803,1117
7804,940
7805,801
7806,825
7807,1008
7808,1448
7809,1788
7810,1627
7811,1377
7812,1225
7813,1147
7814,1139
7815,1072
7816,1056
7817,1010
7818,1081
7819,1163
7820,1465
7821,1714
7822,1842
7823,1897
7824,1815
7825,1530
7826,1274
7827,1072
7828,846
7829,758
7830,806
7831,971
7832,1388
7833,1695
7834,1573
7835,1347
7836,1281
7837,1175
7838,1147
7839,1068
7840,1033
7841,1012
7842,1030
7843,1145
7844,1429
7845,1651
7846,1746
7847,1858
7848,1804
7849,1556
7850,1262
7851,1055
7852,867
7853,758
7854,781
7855,966
7856,1416
7857,1665
7858,1534
7859,1274
7860,1204
7861,1112
7862,1107
7863,1084
7864,1080
7865,1027
7866,1023
7867,1142
7868,1364
7869,1540
7870,1671
7871,1776
7872,1682
7873,1492
7874,1242
7875,1036
7876,887
7877,780
7878,760
7879,890
7880,1197
7881,1551
7882,1652
7883,1557
7884,1470
7885,1302
7886,1283
7887,1290
7888,1182
7889,1117
7890,1146
7891,1226
7892,1400
7893,1563
7894,1671
7895,1698
7896,1634
7897,1428
7898,1219
7899,1029
7900,882
7901,730
7902,743
7903,834
7904,1043
7905,1366
7906,1608
7907,1537
7908,1440
7909,1296
7910,1285
7911,1225
7912,1193
7913,1108
7914,1175
7915,1270
7916,1510
7917,1768
7918,1805
7919,1839
7920,1720
7921,1418
7922,1236
7923,1003
7924,817
7925,695
7926,763
7927,918
7928,1296
7929,1656
7930,1538
7931,1256
7932,1195
7933,1137
7934,1061
7935,1079
7936,1021
7937,967
7938,991
7939,1157
7940,1403
7941,1674
7942,1807
7943,1846
7944,1766
7945,1467
7946,1223
7947,1012
7948,823
7949,704
7950,762
7951,881
7952,1196
7953,1463
7954,1318
7955,1130
7956,1114
7957,1082
7958,1080
7959,1047
7960,1040
7961,980
7962,1043
7963,1205
7964,1478
7965,1811
7966,1960
7967,1999
7968,1880
7969,1604
7970,1356
7971,1115
7972,919
7973,795
7974,820
7975,1005
7976,1401
7977,1713
7978,1567
7979,1266
7980,1191
7981,1092
7982,1062
7983,1097
7984,1027
7985,963
7986,1020
7987,1158
7988,1419
7989,1737
7990,1868
7991,1908
7992,1812
7993,1525
7994,1229
7995,1068
7996,853
7997,754
7998,802
7999,1013
8000,1401
8001,1678
8002,1585
8003,1337
8004,1226
8005,1120
8006,1098
8007,1048
8008,1029
8009,977
8010,1024
8011,1132
8012,1390
8013,1614
8014,1757
8015,1866
8016,1733
8017,1514
8018,1250
8019,1041
8020,851
8021,756
8022,770
8023,918
8024,1259
8025,1534
8026,1428
8027,1164
8028,1076
8029,1016
8030,1013
8031,993
8032,1017
8033,962
8034,997
8035,1147
8036,1303
8037,1484
8038,1702
8039,1729
8040,1688
8041,1494
8042,1233
8043,1074
8044,860
8045,748
8046,747
8047,906
8048,1150
8049,1522
8050,1637
8051,1499
8052,1416
8053,1308
8054,1241
8055,1246
8056,1126
8057,1083
8058,1077
8059,1166
8060,1344
8061,1529
8062,1674
8063,1738
8064,1676
8065,1464
8066,1205
8067,1002
8068,802
8069,708
8070,645
8071,740
8072,964
