,0
0,1366.23
1,1584.8033333333333
2,1743.49
3,1849.2166666666667
4,1716.9466666666667
5,1463.76
6,1247.21
7,1003.03
8,806.6533333333333
9,675.5466666666666
10,784.2866666666666
11,862.9
12,1252.9766666666667
13,1445.2833333333333
14,1522.8133333333333
15,1374.4366666666667
16,1223.04
17,1162.4066666666668
18,1157.3633333333332
19,1045.9666666666667
20,1072.9566666666667
21,1031.4288888888887
22,1043.6666666666667
23,1206.9866666666667
24,1456.1133333333332
25,1605.5033333333333
26,1759.6266666666668
27,1837.167333333333
28,1659.93
29,1455.548888888889
30,1229.96
31,1038.9066666666668
32,859.2833333333333
33,730.24
34,767.26
35,872.7733333333333
36,1220.4933333333333
37,1495.7033333333334
38,1422.5233333333333
39,1205.39
40,1154.6533333333334
41,1069.6966666666667
42,1060.6480000000001
43,1045.0466666666666
44,977.0070476190476
45,1003.64
46,1038.14
47,1160.1546428571428
48,1400.4833333333333
49,1573.98
50,1712.5293888888891
51,1806.433
52,1728.8033333333333
53,1485.0633333333333
54,1247.98
55,1030.9966666666667
56,876.2309126984127
57,804.67
58,817.6333333333333
59,907.9466666666667
60,1221.4133333333334
61,1480.5666666666666
62,1438.9966666666667
63,1298.86
64,1221.2966666666666
65,1142.3433333333332
66,1139.175
67,1137.4
68,1057.61
69,1040.45
70,1034.5633333333333
71,1242.52
72,1443.1766666666667
73,1671.0433333333333
74,1747.05
75,1855.3533333333332
76,1726.2433333333333
77,1534.7933333333333
78,1272.6566666666668
79,1050.94
80,837.3733333333333
81,751.4466666666667
82,779.5266666666666
83,860.9633333333334
84,1260.2733333333333
85,1506.9466666666667
86,1535.5866666666666
87,1127.6133333333332
88,1278.9466666666667
89,1214.6933333333334
90,1176.2733333333333
91,1182.7541666666666
92,1094.2633333333333
93,1055.1066666666666
94,1089.7066666666667
95,1159.5116666666668
96,1442.0666666666666
97,1572.5966666666666
98,1767.7366666666667
99,1839.5183333333334
100,1719.86
101,1469.4533333333334
102,1232.5066666666667
103,1043.4933333333333
104,877.5730555555556
105,746.1566666666666
106,735.2666666666667
107,913.2733333333333
108,1238.1033333333332
109,1438.72
110,1412.2666666666667
111,1203.74
112,1145.4033333333334
113,1073.96
114,1048.0776666666666
115,1097.7383333333332
