,四日市市
7316,266
7317,300
7318,343
7319,333
7320,287
7321,235
7322,176
7323,139
7324,104
7325,82
7326,109
7327,197
7328,301
7329,371
7330,356
7331,295
7332,251
7333,212
7334,174
7335,157
7336,161
7337,155
7338,170
7339,224
7340,244
7341,286
7342,321
7343,333
7344,300
7345,227
7346,162
7347,134
7348,102
7349,85
7350,104
7351,176
7352,274
7353,331
7354,342
7355,299
7356,237
7357,211
7358,167
7359,150
7360,141
7361,143
7362,157
7363,197
7364,241
7365,286
7366,305
7367,316
7368,287
7369,217
7370,160
7371,117
7372,90
7373,76
7374,116
7375,167
7376,259
7377,351
7378,334
7379,314
7380,231
7381,194
7382,176
7383,152
7384,148
7385,149
7386,168
7387,208
7388,253
7389,276
7390,316
7391,311
7392,272
7393,217
7394,165
7395,116
7396,93
7397,90
7398,105
7399,141
7400,245
7401,321
7402,323
7403,284
7404,246
7405,193
7406,165
7407,162
7408,166
7409,150
7410,160
7411,206
7412,242
7413,284
7414,323
7415,315
7416,292
7417,236
7418,162
7419,123
7420,95
7421,74
7422,96
7423,166
7424,277
7425,346
7426,315
7427,281
7428,222
7429,186
7430,169
7431,158
7432,149
7433,144
7434,173
7435,240
7436,300
7437,328
7438,349
7439,344
7440,282
7441,205
7442,135
7443,98
7444,71
7445,80
7446,124
7447,237
7448,367
7449,356
7450,280
7451,209
7452,167
7453,169
7454,133
7455,140
7456,135
7457,130
7458,167
7459,213
7460,273
7461,336
7462,361
7463,364
7464,301
7465,223
7466,158
7467,102
7468,81
7469,72
7470,108
7471,254
7472,380
7473,357
7474,289
7475,202
7476,184
7477,153
7478,141
7479,136
7480,147
7481,146
7482,161
7483,198
7484,262
7485,332
7486,376
7487,366
7488,293
7489,218
7490,156
7491,118
7492,83
7493,91
7494,107
7495,217
7496,361
7497,347
7498,252
7499,190
7500,169
7501,155
7502,137
7503,138
7504,128
7505,140
7506,175
7507,196
7508,249
7509,315
7510,364
7511,361
7512,303
7513,216
7514,156
7515,112
7516,80
7517,92
7518,113
7519,253
7520,388
7521,354
7522,263
7523,220
7524,176
7525,136
7526,131
7527,132
7528,149
7529,130
7530,153
7531,199
7532,242
7533,284
7534,330
7535,332
7536,311
7537,225
7538,157
7539,119
7540,86
7541,76
7542,112
7543,192
7544,298
7545,361
7546,339
7547,271
7548,223
7549,182
7550,180
7551,155
7552,138
7553,143
7554,159
7555,191
7556,232
7557,285
7558,329
7559,320
7560,262
7561,215
7562,169
7563,114
7564,86
7565,75
7566,96
7567,156
7568,258
7569,355
7570,331
7571,272
7572,227
7573,183
7574,159
7575,153
7576,143
7577,146
7578,157
7579,206
7580,259
7581,305
7582,351
7583,349
7584,302
7585,216
7586,148
7587,108
7588,82
7589,74
7590,106
7591,241
7592,357
7593,354
7594,283
7595,214
7596,183
7597,161
7598,143
7599,148
7600,144
7601,133
7602,143
7603,219
7604,275
7605,328
7606,361
7607,359
7608,292
7609,215
7610,147
7611,113
7612,87
7613,78
7614,104
7615,212
7616,347
7617,324
7618,243
7619,198
7620,164
7621,144
7622,125
7623,145
7624,142
7625,168
7626,190
7627,251
7628,303
7629,355
7630,379
7631,349
7632,291
7633,213
7634,160
7635,106
7636,100
7637,75
7638,117
7639,225
7640,345
7641,341
7642,267
7643,194
7644,164
7645,163
7646,147
7647,151
7648,140
7649,133
7650,172
7651,210
7652,270
7653,345
7654,372
7655,355
7656,283
7657,217
7658,158
7659,112
7660,79
7661,92
7662,129
7663,242
7664,396
7665,360
7666,273
7667,218
7668,197
7669,159
7670,131
7671,135
7672,142
7673,143
7674,154
7675,207
7676,266
7677,315
7678,354
7679,356
7680,295
7681,227
7682,148
7683,107
7684,83
7685,91
7686,111
7687,269
7688,365
7689,350
7690,283
7691,218
7692,168
7693,147
7694,143
7695,145
7696,130
7697,129
7698,157
7699,199
7700,247
7701,284
7702,324
7703,326
7704,275
7705,217
7706,162
7707,114
7708,85
7709,80
7710,103
7711,195
7712,289
7713,323
7714,305
7715,244
7716,203
7717,168
7718,163
7719,137
7720,135
7721,142
7722,158
7723,199
7724,245
7725,281
7726,327
7727,300
7728,250
7729,212
7730,158
7731,117
7732,84
7733,76
7734,67
7735,94
7736,203
7737,260
7738,255
7739,226
7740,179
7741,149
7742,139
7743,124
7744,130
7745,123
7746,157
7747,201
7748,248
7749,293
7750,292
7751,284
7752,254
7753,218
7754,144
7755,110
7756,76
7757,61
7758,48
7759,140
7760,246
7761,314
7762,220
7763,184
7764,161
7765,128
7766,113
7767,120
7768,123
7769,109
7770,119
7771,151
7772,205
7773,267
7774,313
7775,287
7776,271
7777,256
7778,231
7779,236
7780,210
7781,237
7782,302
7783,404
7784,421
7785,338
7786,261
7787,224
7788,206
7789,187
7790,169
7791,165
7792,158
7793,123
7794,141
7795,173
7796,226
7797,285
7798,326
7799,314
7800,288
7801,219
7802,153
7803,115
7804,88
7805,78
7806,77
7807,209
7808,340
7809,329
7810,274
7811,202
7812,156
7813,158
7814,132
7815,147
7816,145
7817,143
7818,162
7819,222
7820,266
7821,307
7822,372
7823,356
7824,292
7825,228
7826,163
7827,111
7828,80
7829,80
7830,138
7831,276
7832,386
7833,381
7834,294
7835,215
7836,183
7837,181
7838,148
7839,146
7840,147
7841,135
7842,165
7843,203
7844,276
7845,329
7846,371
7847,340
7848,299
7849,216
7850,155
7851,108
7852,83
7853,82
7854,134
7855,260
7856,386
7857,376
7858,275
7859,225
7860,169
7861,167
7862,157
7863,147
7864,141
7865,142
7866,154
7867,193
7868,255
7869,286
7870,337
7871,325
7872,296
7873,221
7874,157
7875,114
7876,82
7877,65
7878,66
7879,139
7880,232
7881,303
7882,302
7883,289
7884,201
7885,180
7886,163
7887,123
7888,118
7889,117
7890,127
7891,149
7892,184
7893,214
7894,285
7895,263
7896,235
7897,197
7898,141
7899,108
7900,78
7901,56
7902,55
7903,99
7904,208
7905,303
7906,295
7907,238
7908,204
7909,171
7910,150
7911,134
7912,119
7913,112
7914,117
7915,148
7916,202
7917,246
7918,299
7919,303
7920,238
7921,182
7922,141
7923,97
7924,73
7925,52
7926,70
7927,181
7928,296
7929,308
7930,255
7931,190
7932,147
7933,129
7934,120
7935,136
7936,135
7937,104
7938,117
7939,147
7940,213
7941,268
7942,306
7943,299
7944,255
7945,193
7946,148
7947,105
