,Žl“úŽsŽs,0
0,352,358.6983333333333
1,322,288.6983333333333
2,285,224.02333333333334
3,227,200.93333333333334
4,193,166.51
5,169,144.10333333333332
6,161,151.45333333333335
7,179,141.11333333333334
8,156,145.46666666666667
9,187,163.67333333333335
10,229,203.12333333333333
11,294,268.74333333333334
12,332,316.1864444444445
13,366,364.1671111111111
14,329,340.16
15,287,285.34
16,219,225.62376190476186
17,157,155.29666666666665
18,115,110.62666666666667
19,85,80.50666666666666
20,72,74.41055555555558
21,91,103.09333333333333
22,167,231.32333333333332
23,262,283.2133333333333
24,351,332.55333333333334
25,370,310.19466666666665
26,339,227.64055555555552
27,276,200.6888888888889
28,231,171.00333333333333
29,214,156.65666666666667
30,218,145.99866666666668
31,173,139.85666666666665
32,163,113.54333333333334
33,188,135.75333333333333
34,236,177.63
35,297,266.525
36,334,326.34
37,359,365.56
38,319,339.91
39,264,286.8066666666667
40,219,227.78777777777782
41,156,165.26333333333332
42,111,139.55933333333334
43,79,95.85333333333334
44,72,98.58666666666667
45,83,127.87333333333333
46,125,221.24333333333334
47,194,270.37666666666667
48,275,350.49738888888885
49,310,265.0566666666667
50,261,214.47333333333333
51,231,169.84
52,198,164.01
53,180,150.27
54,174,137.84666666666666
55,163,125.19333333333333
56,156,153.03333333333333
57,189,172.90666666666667
58,237,226.42
59,294,281.6533333333333
60,327,310.43
61,349,347.8351111111111
62,328,341.8334444444444
63,269,287.38
64,208,221.17666666666668
65,151,202.77333333333334
66,121,162.25333333333333
67,97,108.42
68,102,113.46
69,102,128.62333333333333
70,163,209.26955555555557
71,205,306.07666666666665
72,269,329.23333333333335
73,320,286.5083333333333
74,274,228.08333333333334
75,234,183.01
76,209,154.41333333333333
77,210,150.28666666666666
78,184,138.63
79,160,136.6
80,166,147.21
81,189,153.11666666666667
82,254,185.83666666666667
83,305,260.8666666666667
84,347,307.2866666666667
85,350,318.57
86,326,336.1955555555556
87,278,284.9533333333333
88,218,209.22
89,159,154.29
90,110,105.04333333333334
91,85,87.32333333333334
92,75,88.2
93,105,84.75666666666666
94,146,182.25199999999998
95,257,297.44
96,393,356.73
97,387,288.68833333333333
98,327,221.7
99,276,193.0861111111111
100,239,167.74444444444444
101,217,182.77666666666667
102,204,160.31
103,166,131.12
104,166,139.56333333333333
105,187,147.66666666666666
106,236,210.7088888888889
107,285,276.31666666666666
108,331,320.1155
109,358,362.25
110,316,319.0966666666667
111,267,280.93666666666667
112,214,238.01444444444448
113,154,177.84666666666666
114,114,170.46666666666667
115,84,126.03333333333333
116,83,112.63333333333334
117,76,109.48666666666666
118,113,187.89333333333335
119,181,291.8833333333333
120,249,349.15166666666664
121,257,269.10611111111115
122,229,200.85666666666665
123,218,175.94666666666666
124,188,157.86
125,176,144.14
126,162,179.95666666666668
127,168,157.18333333333334
128,155,161.99333333333334
129,199,183.64333333333335
130,265,248.07666666666665
131,318,297.66
132,369,317.20911111111116
