,—éŽ­Žs,0
0,1507,1537.18
1,1539,1488.6933333333334
2,1448,1366.48
3,1365,1284.22
4,1307,1093.69
5,1221,1170.9966666666667
6,1203,1207.2
7,1161,1131.5723333333333
8,1067,1097.4766666666667
9,1040,1066.307380952381
10,1206,1327.0116666666668
11,1464,1365.9066666666668
12,1631,1596.853222222222
13,1807,1735.5216666666668
14,1841,1844.6558333333332
15,1672,1734.3833333333334
16,1449,1460.9266666666667
17,1225,1242.7341666666666
18,1075,997.2466666666667
19,886,807.0366666666666
20,741,684.26
21,709,787.6166666666667
22,784,910.6567222222222
23,971,1279.2666666666667
24,1333,1412.6666666666667
25,1568,1524.37
26,1657,1428.0366666666666
27,1606,1270.63
28,1509,1340.49
29,1501,1225.3833333333334
30,1389,1091.9675
31,1309,1085.2763333333332
32,1244,1014.9083333333333
33,1177,1147.8166666666666
34,1308,1228.7933333333333
35,1519,1439.59
36,1643,1589.1825
37,1761,1762.3306666666665
38,1803,1934.7441666666666
39,1636,1645.1233333333332
40,1439,1470.6833333333334
41,1261,1233.3166666666666
42,1035,1095.01
43,837,906.7
44,731,769.2361904761905
45,656,809.5066666666667
46,705,900.7633333333333
47,818,1229.9094444444445
48,1054,1511.6966666666667
49,1299,1452.4566666666667
50,1337,1286.8233333333333
51,1281,1219.87
52,1255,1037.3233333333333
53,1242,1059.553603174603
54,1187,1054.3066666666666
55,1145,987.0815476190477
56,1089,986.8955555555555
57,1119,1035.2966666666666
58,1238,1202.0603095238096
59,1445,1405.43
60,1611,1584.66
61,1722,1876.9128333333335
62,1815,1944.2168333333334
63,1650,1782.9733333333334
64,1390,1445.0533333333333
65,1216,1342.1166666666666
66,1017,1110.18
67,864,1019.3633333333333
68,738,1011.2066666666667
69,734,813.4366666666666
70,762,935.1266666666667
71,840,1167.52
72,1063,1382.8566666666666
73,1304,1450.3366666666666
74,1409,1367.3666666666666
75,1326,1121.1366666666668
76,1285,1073.0766666666666
77,1307,1025.2033333333334
78,1279,1072.4233333333334
79,1242,1054.9333333333334
80,1183,1026.72
81,1155,1029.8133333333333
82,1293,1280.6133333333332
83,1506,1451.2166666666667
84,1681,1625.9166666666667
85,1832,1812.8
86,1814,1843.7766666666666
87,1689,1739.8166666666666
88,1503,1484.9166666666667
89,1273,1259.9633333333334
90,1065,1015.35
91,870,905.1433333333333
92,724,759.9011111111112
93,720,790.6916666666667
94,787,876.8386111111113
95,935,1408.71
96,1283,1548.25
97,1588,1574.33
98,1601,1284.6066666666666
99,1561,1355.5
100,1519,1133.8633333333332
101,1462,1217.9316666666666
102,1424,1268.1933333333334
103,1316,1090.4029999999998
104,1237,1089.9433333333334
105,1166,1106.6833333333334
106,1239,1151.6266666666668
107,1458,1433.7966666666666
108,1625,1576.1455555555556
109,1736,1900.0466666666666
110,1770,1861.8486666666665
111,1642,1732.91
112,1420,1586.4333333333334
113,1196,1280.0
114,1025,1157.4066666666668
115,850,974.1433333333333
116,688,823.53
117,637,763.4075
118,675,862.1233333333333
119,783,1217.0733333333333
120,986,1480.1966666666667
121,1134,1480.4566666666667
122,1236,1183.37
123,1184,1129.61
124,1135,1069.2266666666667
125,1170,1057.0675
126,1157,1117.0691666666667
127,1100,886.2833333333333
128,1069,913.8833333333333
129,1101,1035.4533333333334
130,1278,1135.1166666666666
131,1510,1353.9386666666667
132,1711,1567.9224365079367
133,1816,1681.91
134,1846,1803.4566666666667
135,1660,1869.0166666666667
136,1432,1474.33
137,1212,1216.6033333333332
138,1018,1110.0466666666666
139,817,845.8766666666667
140,716,716.5733333333334
141,706,746.2766666666666
142,829,885.7033333333334
143,1111,1345.1367777777778
144,1456,1599.3233333333333
145,1557,1508.2933333333333
146,1389,1387.2533333333333
147,1351,1250.5066666666667
148,1259,1197.35
149,1218,1097.63
