,—\•ñ“ú,—éŽ­Žs,0,—\•ñ’l_—éŽ­Žs
0,2020-05-01 10:00:00,1507,1520.0333333333333,0.0
1,2020-05-01 11:00:00,1539,1404.17,0.0
2,2020-05-01 12:00:00,1448,1284.9233333333334,0.0
3,2020-05-01 13:00:00,1365,1234.9766666666667,0.0
4,2020-05-01 14:00:00,1307,1102.9066666666668,0.0
5,2020-05-01 15:00:00,1221,1120.7033333333334,0.0
6,2020-05-01 16:00:00,1203,1096.7866666666666,0.0
7,2020-05-01 17:00:00,1161,1099.9,0.0
8,2020-05-01 18:00:00,1067,1047.8266666666666,0.0
9,2020-05-01 19:00:00,1040,1056.6866666666667,0.0
10,2020-05-01 20:00:00,1206,1211.9466666666667,0.0
11,2020-05-01 21:00:00,1464,1363.1033333333332,0.0
12,2020-05-01 22:00:00,1631,1588.79,0.0
13,2020-05-01 23:00:00,1807,1754.88,0.0
14,2020-05-02 00:00:00,1841,1836.685,0.0
15,2020-05-02 01:00:00,1672,1698.9166666666667,0.0
16,2020-05-02 02:00:00,1449,1447.1125,0.0
17,2020-05-02 03:00:00,1225,1226.53,0.0
18,2020-05-02 04:00:00,1075,1017.1466666666666,0.0
19,2020-05-02 05:00:00,886,809.0366666666666,0.0
20,2020-05-02 06:00:00,741,674.4133333333333,0.0
21,2020-05-02 07:00:00,709,768.8333333333334,0.0
22,2020-05-02 08:00:00,784,853.91,0.0
23,2020-05-02 09:00:00,971,1277.6266666666668,0.0
24,2020-05-02 10:00:00,1333,1447.2766666666666,0.0
25,2020-05-02 11:00:00,1568,1483.9066666666668,0.0
26,2020-05-02 12:00:00,1657,1272.9833333333333,0.0
27,2020-05-02 13:00:00,1606,1181.1,0.0
28,2020-05-02 14:00:00,1509,1141.8533333333332,0.0
29,2020-05-02 15:00:00,1501,1154.775,0.0
30,2020-05-02 16:00:00,1389,1045.6733333333334,0.0
31,2020-05-02 17:00:00,1309,1021.6866666666666,0.0
32,2020-05-02 18:00:00,1244,1034.3875,0.0
33,2020-05-02 19:00:00,1177,1031.76,0.0
34,2020-05-02 20:00:00,1308,1194.1633333333334,0.0
35,2020-05-02 21:00:00,1519,1403.3133333333333,0.0
36,2020-05-02 22:00:00,1643,1605.1066666666666,0.0
37,2020-05-02 23:00:00,1761,1798.17,0.0
38,2020-05-03 00:00:00,1803,1830.0203333333332,0.0
39,2020-05-03 01:00:00,1636,1657.9133333333334,0.0
40,2020-05-03 02:00:00,1439,1447.0344444444445,0.0
41,2020-05-03 03:00:00,1261,1229.4166666666667,0.0
42,2020-05-03 04:00:00,1035,1015.51,0.0
43,2020-05-03 05:00:00,837,844.4433333333334,0.0
44,2020-05-03 06:00:00,731,706.1266666666667,0.1
45,2020-05-03 07:00:00,656,728.3233333333334,0.1
46,2020-05-03 08:00:00,705,856.76,0.0
47,2020-05-03 09:00:00,818,1218.2966666666666,0.0
48,2020-05-03 10:00:00,1054,1514.78,0.0
49,2020-05-03 11:00:00,1299,1417.08,0.0
50,2020-05-03 12:00:00,1337,1183.6366666666668,0.0
51,2020-05-03 13:00:00,1281,1151.2033333333334,0.0
52,2020-05-03 14:00:00,1255,1050.9633333333334,0.0
53,2020-05-03 15:00:00,1242,1053.0866666666666,0.0
54,2020-05-03 16:00:00,1187,1031.11,0.0
55,2020-05-03 17:00:00,1145,959.7782777777779,0.0
56,2020-05-03 18:00:00,1089,989.4966666666667,0.0
57,2020-05-03 19:00:00,1119,1020.3866666666667,0.0
58,2020-05-03 20:00:00,1238,1128.28,0.1
